Symbol,Date,Close,Volume
SBL,2023-01-04,303.0,"56,117.00"
SBL,2023-01-03,298.0,"40,533.00"
SBL,2023-01-02,297.3,"35,179.00"
SBL,2023-01-01,297.0,"45,032.00"
SBL,2022-12-29,302.0,"47,602.00"
SBL,2022-12-28,295.0,"57,656.00"
SBL,2022-12-27,339.0,"188,077.00"
SBL,2022-12-26,322.0,"45,037.00"
SBL,2022-12-22,310.0,"21,070.00"
SBL,2022-12-21,309.4,"21,412.00"
SBL,2022-12-20,307.0,"18,497.00"
SBL,2022-12-19,306.0,"9,779.00"
SBL,2022-12-18,306.0,"25,221.00"
SBL,2022-12-15,310.0,"10,417.00"
SBL,2022-12-14,310.0,"12,596.00"
SBL,2022-12-13,309.2,"16,711.00"
SBL,2022-12-12,313.5,"19,031.00"
SBL,2022-12-11,314.7,"27,738.00"
SBL,2022-12-07,320.0,"48,314.00"
SBL,2022-12-06,318.9,"21,203.00"
SBL,2022-12-05,323.0,"22,538.00"
SBL,2022-12-04,324.0,"19,156.00"
SBL,2022-12-01,324.9,"23,546.00"
SBL,2022-11-30,321.3,"15,363.00"
SBL,2022-11-29,322.0,"18,771.00"
SBL,2022-11-28,320.0,"20,091.00"
SBL,2022-11-27,326.9,"27,015.00"
SBL,2022-11-24,323.0,"14,644.00"
SBL,2022-11-23,320.0,"12,798.00"
SBL,2022-11-22,324.9,"7,665.00"
SBL,2022-11-17,325.8,"20,871.00"
SBL,2022-11-16,326.0,"13,385.00"
SBL,2022-11-15,324.7,"13,086.00"
SBL,2022-11-14,320.2,"21,171.00"
SBL,2022-11-13,318.0,"19,783.00"
SBL,2022-11-10,316.9,"24,007.00"
SBL,2022-11-09,317.0,"38,815.00"
SBL,2022-11-08,322.4,"11,675.00"
SBL,2022-11-07,322.2,"36,450.00"
SBL,2022-11-06,324.9,"31,875.00"
SBL,2022-11-03,320.5,"32,484.00"
SBL,2022-11-02,324.0,"39,206.00"
SBL,2022-11-01,322.9,"39,435.00"
SBL,2022-10-31,308.0,"28,940.00"
SBL,2022-10-23,306.0,"9,620.00"
SBL,2022-10-20,304.0,"33,948.00"
SBL,2022-10-19,305.0,"16,552.00"
SBL,2022-10-17,305.5,"14,845.00"
SBL,2022-10-16,302.0,"13,737.00"
SBL,2022-10-13,303.0,"28,177.00"
SBL,2022-10-12,301.0,"14,361.00"
SBL,2022-10-11,302.5,"20,829.00"
SBL,2022-10-10,306.0,"16,331.00"
SBL,2022-10-09,312.0,"21,632.00"
SBL,2022-09-29,299.0,"9,288.00"
SBL,2022-09-28,293.5,"10,620.00"
SBL,2022-09-27,292.0,"10,062.00"
SBL,2022-09-25,288.4,"23,090.00"
SBL,2022-09-22,292.0,"14,458.00"
SBL,2022-09-21,291.0,"19,076.00"
SBL,2022-09-20,289.5,"45,540.00"
SBL,2022-09-18,296.2,"98,169.00"
SBL,2022-09-16,300.0,"18,589.00"
SBL,2022-09-15,302.4,"30,099.00"
SBL,2022-09-14,307.9,"37,309.00"
SBL,2022-09-13,302.9,"30,382.00"
SBL,2022-09-12,297.0,"17,417.00"
SBL,2022-09-11,299.0,"29,688.00"
SBL,2022-09-08,300.0,"21,601.00"
SBL,2022-09-07,302.9,"40,668.00"
SBL,2022-09-06,302.1,"20,720.00"
SBL,2022-09-05,304.8,"28,283.00"
SBL,2022-09-04,305.0,"12,502.00"
SBL,2022-09-02,303.0,"8,095.00"
SBL,2022-09-01,305.0,"10,423.00"
SBL,2022-08-31,306.0,"19,550.00"
SBL,2022-08-30,309.9,"10,439.00"
SBL,2022-08-29,309.0,"30,416.00"
SBL,2022-08-28,307.5,"34,529.00"
SBL,2022-08-26,313.9,"9,821.00"
SBL,2022-08-25,314.0,"17,316.00"
SBL,2022-08-24,316.4,"31,119.00"
SBL,2022-08-23,313.8,"30,406.00"
SBL,2022-08-22,314.5,"25,229.00"
SBL,2022-08-21,314.5,"31,362.00"
SBL,2022-08-18,313.9,"20,949.00"
SBL,2022-08-17,310.9,"15,042.00"
SBL,2022-08-16,310.0,"34,069.00"
SBL,2022-08-15,309.5,"19,155.00"
SBL,2022-08-14,304.0,"23,714.00"
SBL,2022-08-11,306.0,"35,449.00"
SBL,2022-08-10,308.4,"27,991.00"
SBL,2022-08-09,312.6,"32,951.00"
